titulo,ubicacion,detalle,portal
Empleo deDesarrollador Backend Java en Software Enterprise Services SAC,San Isidro,"SOFTWARE ENTERPRISE SERVICESSomos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición:Analista programador JavaRequisitos:Universitario Titulado o Bachiller en ingeniería de sistemas o Industrial o afines / indispensable.Experiencia mínima de 4 años como desarrollador de software / indispensable.Experiencia mínima comprobada de 4 años participando en el desarrollo de aplicaciones web, con lenguaje de programación Java / indispensable.Experiencia en la integración / indispensable.Requisitos Técnicos:Dominio de lenguajes Java nivel avanzado / indispensable.Manejo de Microservicios utilizando springboot / indispensable.Dominio en el desarrollo de aplicaciones backend con Java / indispensable.Dominio en la construccion de APIs REST a / indispensable.Dominio en publicacion de aplicaciones web en AWS / indispensable.Requisitos no Técnicos:Capacitación en metodologías y procesos de desarrollo de aplicaciones web / indispensable.Competencias:Comunicación asertiva.Proactivo.Trabajo en equipo.Beneficios:Planilla completa.EPS (Opcional).Oportunidad de línea de carrera.Horario: Lun a vie de 9am a 6pmModalidad presencial, ref. a dos cuadras de la estacion de Canaval y Moreyra del Metropolitano.",Computrabajo
Empleo deIngeniero(a) de datos en WIN,Lima,"Estamos creciendo y seguimos buscando profesionales con mucha actitud Winner!
Somos WIN, una compañía peruana de servicio de internet por fibra óptica con alcance a nivel nacional estamos comprometidos con que nuestra comunidad disfrute de la verdadera velocidad del Internet.
Nos encontramos en búsqueda de los mejores talentos y tu puedes ser el siguiente Winner.
Serás responsable de: 
Diseñar y mantener pipelines de datos (ETL/ELT)
Automatizar procesos manuales de datos
Desarrollar y optimizar modelos de datos dimensionales y analíticos
Monitorear las cargas de datos y el desempeño de los sistemas
Dar soporte técnico a proyectos de analítica BI e IA
Documentar los procesos, modelos y pipelines implementados
Resolver incidentes operativos en los sistemas de datos
Desarrollar, configurar y mantener agentes de Inteligencia Artificial integrados a los flujos de datos
Demás funciones que el jefe inmediato le asigne.
Para ser un Winner necesitas: 
Egresado/Bachiller en Ing. de sistemas, Ing. Informática, Ing. Telecomunicaciones, estadística y/o similares.
Experiencia de 3 a 5 años como Ingeniero/a de Datos en los sectores de telecomunicaciones, banca o retail.
Deseable experiencia trabajando con entornos Linux.
Estudios de especialización en Administración de Bases de Datos (SQL Server, MySQL, PostgreSQL, afines)
Especialización en Python orientado a Data Engineering y Automatización.
Manejo de Python (Pandas, PySpark, SQLAlchemy, Requests, LangChain) nivel intermedio 
Especialización en Orquestación de Pipelines (Apache Airflow / Spark) 
Conocimientos en Cloud: AWS/GCP/Azure (de preferencia)
Microsoft office a nivel intermedio.
Disponibilidad para trabajar en la modalidad 100% presencial.
 Te ofrecemos: 
Sueldo en planilla de acuerdo al mercado.
Seguro médico privado cubierto al 100%
Convenios corporativos para tu bienestar físico y mental.
Convenios corporativos en educación superior e idiomas.
Planes preferenciales en nuestros servicios Win.
Utilidades de acuerdo a los resultados de la empresa.

Esta convocatoria se encuentra en concordancia con las políticas organizacionales de WIN donde se respeta la diversidad y no hace ningún tipo de discriminación de conformidad con la Ley N° 28983, también promueve la inclusión de la persona con discapacidad de conformidad con la Ley N° 29973 y no solicita ningún tipo de pago o abono para participar en procesos de reclutamiento y selección de acuerdo a nuestra Política Anti soborno.",Computrabajo
Empleo deAnalista Programador Full Stack en Materia Gris,Surquillo,"¡¡Únete a nuestro equipo MATERIAGRIS e inicia este gran reto con nosotros!!
En Materia Gris nos encontramos en la búsqueda del mejor talento para cubrir el puesto de Analista Programador full stack.
Misión:
Analizar, desarrollar e implementar soluciones full stack, trabajando en entornos ágiles, garantizando calidad, eficiencia y alineación con los objetivos del negocio.
Requisitos:
Titulado/a o bachiller en Ingeniería de Sistemas, Informática o carreras afines.
Experiencia mínima de 2 años en desarrollo e implementación de sistemas.
Experiencia en desarrollo backend, frontend y base de datos.
Experiencia en C,  .NET y ASP.NET.
PostgreSQL, SQL, Oracle.
Experiencia en Angular.
Experiencia en el sector de seguros o afines. (Deseable)
Experiencia trabajando en entornos ágiles.
Excelentes habilidades de comunicación y trabajo en equipo.",Computrabajo
Empleo deDesarrollador Power Platform en Simbiosys Software S.A.C,Trujillo,"Estamos en la búsqueda de un Desarrollador Power Platform con capacidad analítica y proactividad para unirse a nuestro equipo. El candidato ideal será responsable de diseñar, implementar y optimizar soluciones empresariales que impulsen la transformación digital de la organización.Requisitos y Aptitudes Clave:•	Power Apps: Dominio avanzado en la creación de aplicaciones Canvas (diseño a medida) y aplicaciones Model-driven (estructuradas sobre Dataverse).•	Power Automate: Experiencia sólida en la automatización de flujos de trabajo, integración de sistemas, tareas repetitivas y procesos de aprobación complejos.•	Power BI: Capacidad para la extracción, transformación y visualización de datos, creando informes interactivos y dashboards de alto impacto.•	Manejo de Datos: Conocimiento en conectores de datos (Dataverse, SharePoint, SQL Server) y fórmulas DAX/Power Query.Se Valorará:•	Experiencia previa en metodologías ágiles (Scrum).•	Conocimientos en integración con el ecosistema Microsoft 365 y Azure.•	Capacidad de autogestión y resolución de problemas.Los interesados deberán enviar su Currículum Vitae documentado y pretensiones salariales.",Computrabajo
Empleo dePeople Analytics en COOPAC Santa Isabel,Piura,"Objetivo del puesto:
Implementar, gestionar y optimizar el área de People Analytics, mediante el análisis de datos del capital humano, con el fin de generar información valiosa que permita optimizar la gestión del talento, mejorar la toma de decisiones y fortalecer la experiencia del colaborador, alineando las métricas de capital humano con los objetivos del negocio.
Responsabilidades principales:
Diseñar y desarrollar dashboards e informes de indicadores clave de Talento Humano (KPIs).
Identificar, diseñar y automatizar procesos del área de Talento Humano mediante herramientas que permitan optimizar tiempos y reducir errores operativos.
Analizar tendencias y patrones de datos relacionados con reclutamiento, rotación, desempeño, clima laboral, ausentismo, etc.
Apoyar en la toma de decisiones estratégicas mediante análisis estadístico.
Participar en el diseño y automatización de encuestas, formularios y herramientas de recolección de información interna para análisis de resultados (clima, engagement, etc.).
Proponer mejoras en los procesos de Talento Humano basadas en evidencia y datos.
Colaborar con otras áreas para integraciones necesarias entre plataformas internas que impacten en el flujo de datos y generar insights integrados.
Asegurar la calidad, integridad y confidencialidad de los datos utilizados.
Requisitos del perfil:
Bachiller y/o titulado(a) en Estadística, Economía o carreras afines.
Al menos 1 a 3 años de experiencia en análisis de datos (De preferencia afinidad con áreas de Gestión de Personas).
Dominio de KPIs de RR.HH
Conocimientos en automatización de procesos (experiencia en herramientas como Power Automate y Power Apps).
Manejo de herramientas de análisis de datos y visualización (Excel, SPSS, Power BI, o similares)
Dominio de lenguajes de análisis: SQL, Python o R (deseable).
Entendimiento de técnicas estadísticas y modelos básicos de predicción.
Se valorará adicionalmente:
Certificaciones en People Analytics, BI. (Deseable)
Experiencia previa (incluye prácticas) en áreas de Recursos Humanos",Computrabajo
Empleo deDesarrollador Frontend en Software Enterprise Services SAC,San Isidro,"SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión.Nos encontramos en la búsqueda del mejor talento para ocupar el perfil de Desarrollador Frontend.Requisitos:- Técnico, Bachiller, Título en Ingeniería en Sistemas, Informática, Software, Ciencias de la Computación o afines (Indispensable).- Experiencia con HTML5, CSS3, Typescript (Indispensable).- Experiencia y conocimientos trabajando con web angular (componentes, routing, lazy loading, guards) (Indispensable).- Experiencia trabajando con React + hooks, React Navigation (Indispensable).- Conocimientos en RxJS y Formularios Reactivos (Indispensable).- Conocimientos en consumo de APIs Rest (Indispensable).Competencias blandas:- Comunicación asertiva- Trabajo en equipo- Proactividad y orientación a resultados- Pensamiento analítico- Resolución de problemas- Adaptabilidad y aprendizaje continuoBeneficios:- Planilla completa.- EPS (Opcional).- Oportunidad de línea de carrera.- Modalidad de trabajo: Híbrido",Computrabajo
Trabajos de analista de base de datos en COBINSAC,Lima,"COBRANZAS INTEGRALES con mas de 20 años con experiencias brindando servicios a entidades Financieras, líderes en gestión de cobranza.Diariamente ayudamos a entidades Financieras con sus Portafolios de Gestion.Por ello nos encontramos en búsqueda de Un(a) Analista Datos.Requisitos:Egresado o afines de la carrera de Ingeniería en Sistemas, Ingeniera Estadística, Investigación Operativa, Ingeniería Industrial, o afines.Con experiencia mínima demostrada 1 año en Análisis de Cartera Bancaria, Gestión de Proyectos y Planeamiento Estratégicos.Conocimientos en Gestión y Análisis Financiero, Gestión por indicadores, manejo de Base de datos, Documentación de procesos.Dominio de Excel a nivel intermedio y SQL Server.Conocimiento de Herramientas de B.I. (Power BI).Conocimiento en Big Data analytics (no excluyente).Disponibilidad para laborar presencial de Lunes a Viernes de 8 am 6pm / Sábados de 9am a 1pm Disponibilidad para laborar en Cercado de Lima.Funciones:Brindar soporte en el proceso de Planificación Estratégica enfocado a cobranza, planes operativos y de acción en función a la productividad.Monitorear la ejecución del plan estratégico y los planes operativos, identificando el nivel de cumplimiento de los objetivos y metas trazadas, los resultados de la ejecución y las desviaciones.Controlar al avance de las iniciativas estratégicas, el cumplimiento de objetivos y su impacto en los objetivos estratégicos de la empresa.Beneficios:Sueldo acorde al mercado.Planilla Mype (Todos los beneficios de ley al 50% ).Crecimiento profesional.¡Esperamos recibir tu solicitud y tener la oportunidad de trabajar juntos para alcanzar el éxito!RequerimientosEducación mínima: Fines u/o Universitario1 años de experienciaEdad: entre 20 y 35 años",Computrabajo
Empleo deAnalista Programador Full Stack .NET / SQL ,San Miguel,"Requisitos Generales:
1.Formación técnica o universitaria en Ingeniería de Sistemas o carreras afines.
2.Experiencia general mínima de 4 años en desarrollo de software.
3.Experiencia en proyectos del sector salud (Deseable)
4.Experiencia en integración de sistemas de terceros (web services, APIs REST/SOAP).
5.Modalidad: 100% presencial
Conocimientos Funcionales Deseables:
1.Procesos de Historia Clínica Electrónica.
2.Gestión de operaciones de atención (admisión, SITED, citas, pagos, reprogramaciones).
3.Experiencia en módulos de agendamiento y gestión de turnos médicos.
Desarrollo Backend (.NET / C):
1..NET Framework 4.5+ y .NET Core / .NET 7 o superior.
2.Aplicaciones Desktop (n-Capas, CRUD).
3.Aplicaciones Web con MVC (Modelo, Vista, Controlador).
4.Servicios Web API RESTful, Swagger, JWT y OAuth.
5.Servicios Windows (deseable).
6.Seguridad en APIs (JWT / OAuth).
7.Manejo de errores mediante Middleware.
8.Conocimiento de Message Brokers (Azure Bus, RabbitMQ , Kafka, etc.).
9.Conocimiento de ORM: Entity Framework Core, Dapper.
Desarrollo Frontend:
1.Angular (v16+) o React.
2.HTML5, CSS3, JavaScript, Bootstrap, jQuery, Tailwind CSS o algún otro framework.
3.Comunicación entre módulos, servicios y componentes.
4.Conocimiento en Interceptores HTTP.
5.Conocimiento en Programación reactiva.
6.Conocimiento en Responsive Design (PC y móviles).
Base de Datos (SQL Server):
1.SQL Server 2012 a 2022.
2.Lenguaje SQL, Stored Procedures, Funciones, Transacciones.
3.Integridad referencial y normalización.
4.Optimización de consultas.
5.Conocimiento en el uso de SQL Profiler, automatización con SQL Agent.
6.Conocimiento en Reporting Services (SSRS).
Herramientas y DevOps:
1.Visual Studio 2019 en adelante.
2.Postman, GitHub, Azure DevOps, Jira.
3.Control de versiones (Git, Azure Repos).
4.Despliegue Web en IIS, ClickOnce para aplicaciones Desktop.
Metodologías de Trabajo:
1.Agile / Scrum.
2.Aplicación de buenas prácticas y estándares de desarrollo.
3.Control de cambios y versionamiento colaborativo.",Computrabajo
Empleo deData Integration/DataStage en NTT DATA,Lima,"NTT DATA somos todas las personas que la formamos. Un equipo de más de 139.000 profesionales, tan diverso cómo diversos son los 50 países en los que estamos presentes y los diferentes sectores en los que desarrollamos nuestra actividad; telecomunicaciones, entidades financieras, industria, utilities, energía, administración pública y sanidad.
¿Nuestra misión? Ofrecer soluciones tecnológicas, de negocio, estrategia, desarrollo y mantenimiento de aplicaciones, siendo un referente en consultoría. Todo gracias a la colaboración entre equipos, la calidad humana de nuestra gente y a que no nos conformamos con lo establecido, buscamos siempre la innovación que nos acerca al futuro.
Nuestra esencia nos ha llevado a la vanguardia de la tecnología, a romper paradigmas y a brindar las soluciones que realmente se corresponden a las necesidades de cada cliente. Nuestro talento nos ha hecho poder decir con orgullo que somos una de las 6 empresas TOP de tecnologías en el mundo.
Te invitamos a formar parte de nuestro equipo, ocupando el cargo de: Data Integration DataStage
Requisitos:
Estudios técnicos y/o universitarios completos, en las carreras de Ingeniería de Sistemas, Informática, Ing. Industrial y/o afines.
Experiencia sólida en IBM DataStage: Designer, Director y Administrator.
Dominio en diseño de Parallel Jobs y Sequence Jobs complejos.
Conocimiento avanzado de SQL: subconsultas, funciones de ventana, stored procedures y transacciones.
Experienci
Manejo de stages como:
Transformer
Merge
Funnel
Switch
Remove Duplicates
Complex Flat File
Email Stage
FTP Stage
Experiencia en procesamiento de archivos planos en distintos formatos: delimitados y de ancho fijo.
Conocimiento en envío de correos con adjuntos y transferencia FTP/SFTP con stages nativos.
Experiencia en cargas staging con control de auditoría, manejo de rechazos y procesamiento incremental.
Capacidad para implementar esquemas de monitoreo, alertamiento y recuperación automática de procesos ETL.
Experiencia en tuning y optimización de performance.

Principales responsabilidades
Diseñar arquitecturas ETL complejas en IBM DataStage.
Liderar técnicamente los desarrollos del equipo, promoviendo buenas prácticas y estándares de calidad.
Administrar cargas en producción, monitorear ejecuciones y diagnosticar fallos mediante DataStage Director.
Configurar entornos, conexiones, usuarios y promociones entre ambientes DEV / QA / PROD usando DataStage Administrator.
Desarrollar Parallel Jobs y Sequence Jobs complejos con lógica condicional, control de errores y reintentos.
Diseñar y parametrizar soluciones por ambiente mediante Parameter Sets.
Implementar tablas de auditoría y control para trazabilidad de procesos.
Gestionar cargas hacia DB2 y SQL Server con lógica upsert, control de duplicados, rechazos y carga incremental.
Diseñar y administrar mallas automáticas de ejecución, incluyendo monitoreo, alertas, recuperación y reanudación controlada de procesos.
Optimizar performance mediante particionamiento, uso de nodos paralelos y tuning de jobs.
Gestionar versionamiento y repositorio de desarrollos mediante exportación e importación DSX.

Beneficios:
Inmejorable oportunidad de línea de carrera profesional en nuestra consultora líder en el mercado TI.
Bono de alimentación.
Descuentos corporativos.
Contrato indeterminado desde el primer día.
Permanente capacitación y certificaciones Microsoft y AWS.
EPS cubierta al 100% y Seguro Vida Ley desde el primer día de labor.
Seguro Oncológico al 100%.

NTT DATA es un entorno inclusivo donde cada voz es escuchada y cada historia es valorada. Por eso, nuestro proceso de selección y reclutamiento se enfoca en identificar el talento sin distinción o sesgos relacionados con género, sexo, orientación sexual, discapacidad, edad u otras características personales",Computrabajo
Empleo deAnalista BI Comercial  Sql Power BI Consumo Masivo en Overall Strategy,San Isidro,"Por encargo de nuestro cliente, empresa LÍDER en la venta y comercialización de bebidas de la más alta calidad, nos encontramos en la búsqueda de:

																											Analista BI Comercial
REQUISITOS:
Universitario completo en Ingeniería de Sistemas, Ingeniería Industrial, Economía, Administración o afines.
Experiencia mínima de 2 años como Analista de Datos, BI o Analista Comercial.
Idealmente experiencia en gestión de maestro de clientes: creación/modificación de registros, seguimiento de solicitudes y control de integridad de la data.
SQL nivel intermedio: consultas, JOINs y manejo de volúmenes grandes de data.
Excel avanzado y Power BI: publicación y mantenimiento de tableros.
Experiencia deseable con canal tradicional.
Disponibilidad inmediata.
FUNCIONES:
Atención y seguimiento de solicitudes de creación o modificación de clientes ingresadas, asegurando tiempos de respuesta y resolución de incidencias técnicas asociadas.
Elaboración y mantenimiento de reportes recurrentes: tickets, venta, cobertura, entre otros KPIs comerciales.
Identificación de oportunidades de mejora en procesos de enriquecimiento de datos, front de ventas y reportería.
Monitoreo del despliegue de acciones comerciales, asegurando el uso eficiente de palancas comerciales.
Elaboración de presentaciones mensuales con resultados y hallazgos clave.
Constante coordinación con áreas Comercial, Marketing y TI.
Otras funciones que asigne el jefe inmediato.
BENEFICIOS:
Salario acorde al mercado.
Planilla completa.
Horario de oficina.",Computrabajo
Empleo deAnalista de Inteligencia de Datos Sr. en Automatizate Negocios,Miraflores,"¿Te apasiona el análisis de datos y la automatización de procesos? En Automatízate Negocios buscamos un Analista de Inteligencia de Datos (Senior o Semi Senior) para integrarse a nuestro equipo.
REQUISITOS:
Profesional de Ingeniería de Sistemas, Estadística, Ciencia de Datos o carreras afines.
Experiencia mínima de 2 años en roles de análisis o inteligencia de datos.
Experiencia en call center, ventas o generación de leads.
SQL avanzado (optimización de consultas, joins complejos y funciones).
Manejo de Excel avanzado y Power BI.
Conocimiento de Python o herramientas similares para web scraping a escala.
Experiencia en consumo de APIs y servicios externos.
Manejo de herramientas de automatización como Puppeteer, Playwright u otros.
FUNCIONES:
Analizar, procesar y transformar grandes volúmenes de datos para la toma de decisiones estratégicas.
Desarrollar consultas avanzadas y optimizar procesos de extracción de información.
Implementar y monitorear procesos de web scraping y consumo de APIs.
Diseñar dashboards e indicadores en Power BI y Excel.
Generar modelos de scoring y reportes de desempeño.
BENEFICIOS:
Ingreso a una empresa en constante crecimiento.
Salario acorde al mercado.
Bonos e incentivos según desempeño.
Excelente clima laboral.
Oportunidad de desarrollo profesional y línea de carrera.
Promovemos la inclusión y la equidad de género, brindando las mismas oportunidades para hombres y mujeres. Si quieres formar parte de un equipo orientado a la innovación y mejora continua, postula con nosotros.",Computrabajo
Empleo deAnalista de gobierno de datos GCP en Vooxell,Lima,"FormaciónBachiller o egresado en ingeniería de sistemas, telecomunicaciones, computación, informática, estadística, industrial o carreras afines.ExperienciaMínimo 2 años en posiciones similares en procesos de gestión, gobernanza de datos, calidad de datos y gestión de metadatos.Mínimo 2 años participando en proyectos o implementación de Data Governance/Gobierno de Datos.Realizando documentación de activos de información, con entregables como: Diccionario de datos, Business Glosary, políticas, estrategia de metadatos, etc.Mínimo 1 año en equipos de gestión bajo metodología ágil/Scrum.ConocimientosModelamiento y documentación de casos de negocios, bases de datos y procesos.Lenguajes SQL avanzado (Oracle/SQL Server) de programación: Python o R.Servicios Cloud GCP, Big Data.Visualización: Power BI, Tableau, Datastudio.Herramientas de perfilamiento y calidad de datos.Gobierno de Datos - Framework DAMA.Análisis, propuestas y seguimiento sistemáticos de planes de mejora de datos.Soluciones SAP: SAP S/4 Hana, SAP MDG y SAP Information StewardNivel MS Office avanzado: Word, Excel y Power Point CDMP, CSM o relacionadasFuncionesAnálisis, propuesta y seguimiento sistemático de planes de mejora de los datosDefinición de controles y reglas de calidad de datos en conjunto con el Data Owner/Data StewardSoporte a la automatización de las validaciones sobre datos maestrosSeguimiento de la completitud del glosario para su dominio de datos e identificación proactiva de dominios relevantes para la estructura del modelo de gobierno de datos.Soporte en la identificación y levantamiento de casos de uso de negocio en los dominios de datosSeguimiento de los proyectos de la compañía que tengan impacto sobre la gestión y gobierno de los datosOrquestar, junto con data stewards y usuarios funcionales, las diferentes reglas de calidad y validez definidas sobre el datoAnálisis, mantenimiento y revisión del Modelo de gobierno de datos dentro de la organización.Participación activa de las oficinas de Datos",Computrabajo
Empleo deDesarrollador Full Stack Senior (React + Python + Postgress) en ISOS GROUP,Arequipa,"Experiencia mínima de 3 años en desarrollo de software webDominio de:- React JS (Frontend)- Python (FastAPI o Django REST) (Backend)- PostgreSQL (Base de datos)Experiencia en:- Diseño de bases de datos relacionales- Desarrollo de APIs REST- Sistemas con autenticación, roles y permisos- Multiplataforma para empresas- Manejo de archivos (documentos, evidencias)- Exportación de reportes (Excel/PDF)- Integración de servicios de correo (SMTP)Conocimientos deseables - Conceptos de ISO 27001 (Seguridad de la Información)- Conceptos de ISO 27701 (Privacidad de la Información)Experiencia o conocimiento en:- Gestión de riesgos- Protección de datos personales- Cumplimiento normativo (compliance)Otros conocimientos- Integración de APIs de IA (chat tipo asistente)- Experiencia en sistemas empresariales o de gestiónResponsabilidades- Desarrollar una plataforma web completa (frontend + backend)- Implementar módulos de gestión (usuarios, roles, documentos, procesos, matrices, inventario de activos, consentimientos, arco-p, evaluación de riesgos, logs, incidentes, auditorias, capacitaciones)- Garantizar buenas prácticas de seguridad y trazabilidad- Trabajar de forma autónoma y orientada a resultadosImportanteBuscamos un perfil senior real, con capacidad de tomar decisiones técnicas y trabajar de manera independiente. Este proyecto no es para perfiles junior.",Computrabajo
